number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
63,,2020-09-27 05:21:36.904652,,,,,,,,,,,,,RUNNING
64,,2020-09-27 06:32:13.005117,2020-09-27 13:40:06.653845,0 days 07:07:53.648728000,256.0,0.2,0.0031417290909720504,constant_with_warmup,8.0,3.0,5.0,128.0,2.8049863941809036e-06,"Trial 64 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
65,,2020-09-27 07:45:40.794622,,,,,,,,,,,,,RUNNING
66,,2020-09-27 08:50:35.727000,,,,,,,,,,,,,RUNNING
67,,2020-09-27 13:40:06.684029,,,,,,,,,,,,,RUNNING
68,0.28557754277834413,2020-09-27 15:42:14.659030,2020-09-28 05:17:17.533060,0 days 13:35:02.874030000,256.0,0.3,0.0032177334495610012,constant_with_warmup,8.0,3.0,5.0,128.0,4.6675399364654054e-06,,COMPLETE
69,0.16922313512155848,2020-09-27 15:42:14.676483,2020-09-28 01:49:23.312080,0 days 10:07:08.635597000,256.0,0.3,0.008404678219220077,constant_with_warmup,8.0,3.0,5.0,128.0,2.14356880774464e-06,,COMPLETE
70,0.28542035013139444,2020-09-27 15:42:14.696894,2020-09-28 03:58:57.023350,0 days 12:16:42.326456000,256.0,0.3,0.003140846530451539,constant_with_warmup,8.0,3.0,5.0,128.0,2.08251011819892e-06,,COMPLETE
71,0.33585658547901837,2020-09-27 15:42:14.715499,2020-09-28 01:54:48.571368,0 days 10:12:33.855869000,256.0,0.3,0.003285784826635957,constant_with_warmup,8.0,3.0,5.0,128.0,4.555069608688968e-06,,COMPLETE
72,0.2644672746169437,2020-09-27 15:42:14.735831,2020-09-28 06:40:01.752519,0 days 14:57:47.016688000,256.0,0.3,0.0031237219017103135,constant_with_warmup,8.0,3.0,5.0,128.0,4.627138585991238e-06,,COMPLETE
73,,2020-09-28 01:49:23.513748,2020-09-28 08:47:57.071363,0 days 06:58:33.557615000,256.0,0.2,0.0031354634213243055,constant_with_warmup,2.0,2.0,5.0,192.0,4.661275849369695e-06,"Trial 73 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
74,,2020-09-28 01:54:48.607953,2020-09-28 08:47:43.549465,0 days 06:52:54.941512000,256.0,0.2,0.006316539622331593,constant_with_warmup,2.0,2.0,5.0,192.0,1.3872735460777756e-06,"Trial 74 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
75,,2020-09-28 03:58:57.092022,,,,,,,,,,,,,RUNNING
76,,2020-09-28 05:17:17.594417,2020-09-28 08:47:38.629153,0 days 03:30:21.034736000,256.0,0.2,0.006029902255960186,constant_with_warmup,2.0,2.0,5.0,192.0,1.38622287595898e-06,"Trial 76 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
77,,2020-09-28 06:40:01.829443,2020-09-28 08:47:40.566056,0 days 02:07:38.736613000,256.0,0.2,0.006572681427345598,constant_with_warmup,2.0,2.0,5.0,192.0,2.882843268117772e-06,"Trial 77 failed because of the following error: UnboundLocalError(""local variable 'parser' referenced before assignment"")",FAIL
78,,2020-09-28 08:47:38.704319,2020-09-28 08:47:49.962895,0 days 00:00:11.258576000,256.0,0.2,0.005928503888077877,constant_with_warmup,2.0,2.0,5.0,192.0,1.475549960978284e-06,Trial 78 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f1d1c26a690>),FAIL
79,,2020-09-28 08:47:40.881305,2020-09-28 08:47:53.036704,0 days 00:00:12.155399000,256.0,0.2,0.005754635358064955,constant_with_warmup,2.0,2.0,5.0,192.0,1.4357176991926665e-06,Trial 79 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f1d1c273a90>),FAIL
