number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--hidden_act,params_--learning_rate,params_--n_head,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
82,0.3040182807711333,2020-09-15 08:45:00.979047,2020-09-15 10:52:59.104800,0 days 02:07:58.125753000,128.0,0.3,gelu,0.0018601488288973612,16.0,1.0,64.0,,COMPLETE
83,,2020-09-15 10:39:50.464177,2020-09-15 18:51:51.806614,0 days 08:12:01.342437000,128.0,0.3,gelu,0.0019280623205299603,16.0,1.0,64.0,"Trial 83 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
84,,2020-09-15 10:42:02.912950,2020-09-15 18:51:44.337758,0 days 08:09:41.424808000,128.0,0.3,gelu,0.0019157733776415807,16.0,1.0,64.0,"Trial 84 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
85,0.28404428010859756,2020-09-15 10:46:13.514107,2020-09-15 12:39:25.476948,0 days 01:53:11.962841000,128.0,0.3,gelu,0.002726469862036394,16.0,1.0,64.0,,COMPLETE
86,,2020-09-15 10:52:59.160539,2020-09-15 18:51:50.222124,0 days 07:58:51.061585000,128.0,0.3,gelu,0.0007516990114800416,16.0,1.0,64.0,"Trial 86 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
87,0.2680944465658214,2020-09-15 10:55:24.221842,2020-09-15 12:56:17.045270,0 days 02:00:52.823428000,128.0,0.3,gelu,0.0028394515433488826,1.0,1.0,64.0,,COMPLETE
88,0.27961475219053783,2020-09-15 12:39:25.536467,2020-09-15 14:36:47.472426,0 days 01:57:21.935959000,128.0,0.3,gelu,0.0010793415194196496,1.0,1.0,64.0,,COMPLETE
89,0.25153451188184833,2020-09-15 12:56:17.078844,2020-09-15 14:52:44.656684,0 days 01:56:27.577840000,128.0,0.3,gelu,0.0007695474262631859,1.0,1.0,64.0,,COMPLETE
90,0.24603621946706772,2020-09-15 14:36:47.610248,2020-09-15 16:31:24.742302,0 days 01:54:37.132054000,128.0,0.3,gelu,0.000722320526698059,1.0,1.0,64.0,,COMPLETE
91,0.3051842011631662,2020-09-15 14:52:44.735260,2020-09-15 16:49:15.108324,0 days 01:56:30.373064000,128.0,0.3,gelu,0.0018663600603982065,16.0,1.0,64.0,,COMPLETE
92,0.30825563734184713,2020-09-15 16:31:24.812420,2020-09-15 18:31:10.055064,0 days 01:59:45.242644000,128.0,0.3,gelu,0.001833922919639271,16.0,1.0,64.0,,COMPLETE
93,0.2794267072224179,2020-09-15 16:49:15.209161,2020-09-15 18:45:31.622990,0 days 01:56:16.413829000,128.0,0.3,gelu,0.002412807297671058,16.0,1.0,64.0,,COMPLETE
94,0.27458671342735747,2020-09-15 18:31:10.108786,2020-09-15 20:27:39.305279,0 days 01:56:29.196493000,128.0,0.3,gelu,0.0024845968020296627,16.0,1.0,64.0,,COMPLETE
95,0.2956178942553653,2020-09-15 18:45:31.676178,2020-09-15 20:43:16.832598,0 days 01:57:45.156420000,128.0,0.3,gelu,0.0013261835344805595,16.0,1.0,64.0,,COMPLETE
96,0.3027537723205658,2020-09-15 18:51:44.350630,2020-09-15 20:45:24.946722,0 days 01:53:40.596092000,128.0,0.3,gelu,0.0014306768975096407,16.0,1.0,64.0,,COMPLETE
97,0.302705695243724,2020-09-15 18:51:50.240274,2020-09-15 20:58:38.900313,0 days 02:06:48.660039000,128.0,0.3,gelu,0.0014237258573726007,16.0,1.0,64.0,,COMPLETE
98,0.296384822324824,2020-09-15 18:51:51.821056,2020-09-15 21:12:03.915226,0 days 02:20:12.094170000,128.0,0.3,gelu,0.0013143672337930727,16.0,1.0,64.0,,COMPLETE
99,0.3022449066708231,2020-09-15 20:27:39.358214,2020-09-15 22:24:18.756603,0 days 01:56:39.398389000,128.0,0.3,gelu,0.001433553555313186,16.0,1.0,64.0,,COMPLETE
100,0.30026156209559174,2020-09-15 20:43:16.887208,2020-09-15 22:40:31.998737,0 days 01:57:15.111529000,128.0,0.3,gelu,0.0013833644677841526,1.0,1.0,64.0,,COMPLETE
101,0.19290265492975905,2020-09-15 20:45:24.992900,2020-09-15 21:58:07.543657,0 days 01:12:42.550757000,128.0,0.2,gelu,0.0010820975467896712,8.0,1.0,256.0,,COMPLETE
102,0.19544578556197442,2020-09-15 20:58:39.067087,2020-09-15 22:09:37.532906,0 days 01:10:58.465819000,128.0,0.2,gelu,0.0011203446178913805,8.0,1.0,256.0,,COMPLETE
103,0.18698978827602536,2020-09-15 21:12:03.958570,2020-09-15 22:23:49.451323,0 days 01:11:45.492753000,128.0,0.2,gelu,0.0011270268101899136,8.0,4.0,256.0,,COMPLETE
104,0.3095980888288793,2020-09-15 21:58:07.580360,2020-09-15 23:56:50.527710,0 days 01:58:42.947350000,128.0,0.3,gelu,0.001809147327287985,1.0,1.0,64.0,,COMPLETE
