number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
86,,2020-09-29 08:13:06.965163,,,,,0.006669801745933131,,1.0,,,,,RUNNING
87,,2020-09-29 08:13:06.984360,,,128.0,0.1,,linear_with_warmup,,,,2.1019304960471535e-05,,RUNNING
88,,2020-09-29 08:13:07.004442,,,,,,,,,,,,RUNNING
89,0.23956406481755363,2020-09-29 15:23:37.151849,2020-09-29 20:03:09.167857,0 days 04:39:32.016008000,128.0,0.1,0.006589577537849375,linear_with_warmup,1.0,5.0,64.0,1.9813863773159384e-05,,COMPLETE
90,,2020-09-29 15:23:37.175400,2020-09-29 19:39:47.140223,0 days 04:16:09.964823000,128.0,0.1,0.007083400526732463,linear_with_warmup,1.0,5.0,64.0,2.165465500239775e-05,"Trial 90 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
91,0.2390785745689173,2020-09-29 15:23:37.199292,2020-09-29 20:33:03.287041,0 days 05:09:26.087749000,128.0,0.1,0.006878617754624457,linear_with_warmup,1.0,5.0,64.0,2.0769635582688433e-05,,COMPLETE
92,0.2405223666074387,2020-09-29 15:23:37.222804,2020-09-29 20:20:25.291618,0 days 04:56:48.068814000,128.0,0.1,0.006608674194695848,linear_with_warmup,1.0,5.0,64.0,2.0561328716256003e-05,,COMPLETE
93,0.24204247685838745,2020-09-29 15:23:37.247946,2020-09-29 20:14:00.128169,0 days 04:50:22.880223000,128.0,0.1,0.006418922985266756,linear_with_warmup,1.0,5.0,64.0,2.100976400998885e-05,,COMPLETE
94,0.2395305453889219,2020-09-29 19:39:47.167801,2020-09-30 00:25:19.504300,0 days 04:45:32.336499000,128.0,0.1,0.007017084843437193,linear_with_warmup,1.0,5.0,64.0,2.129185987893225e-05,,COMPLETE
95,0.2527056625992473,2020-09-29 20:03:09.312734,2020-09-30 01:57:18.425446,0 days 05:54:09.112712000,128.0,0.1,0.003361461851610098,linear_with_warmup,1.0,5.0,64.0,2.3162903400635034e-05,,COMPLETE
96,0.25217374697056727,2020-09-29 20:14:00.178368,2020-09-30 05:21:47.858805,0 days 09:07:47.680437000,128.0,0.0,0.0033119903380448928,linear_with_warmup,1.0,5.0,64.0,4.2705546322513736e-05,,COMPLETE
97,0.24905563297753966,2020-09-29 20:20:25.372134,2020-09-30 06:20:51.851338,0 days 10:00:26.479204000,128.0,0.0,0.004051310618254635,linear_with_warmup,1.0,5.0,64.0,2.4584035015057494e-05,,COMPLETE
98,0.2434141842902576,2020-09-29 20:33:03.329585,2020-09-30 06:13:52.656680,0 days 09:40:49.327095000,128.0,0.0,0.003296501602612283,linear_with_warmup,2.0,5.0,64.0,4.346768310580568e-05,,COMPLETE
99,0.22966404559686193,2020-09-30 00:25:19.600999,2020-09-30 07:06:08.166814,0 days 06:40:48.565815000,128.0,0.0,0.0041451454688142516,linear_with_warmup,2.0,5.0,64.0,4.2583549474588404e-05,,COMPLETE
100,0.22745367614943507,2020-09-30 01:57:18.493557,2020-09-30 07:56:22.301254,0 days 05:59:03.807697000,128.0,0.0,0.004387920095138801,linear_with_warmup,2.0,5.0,64.0,4.286228931668955e-05,,COMPLETE
101,0.22700147354610428,2020-09-30 05:21:47.953043,2020-09-30 10:12:23.357162,0 days 04:50:35.404119000,128.0,0.1,0.004276493263714614,linear_with_warmup,2.0,5.0,64.0,2.5841673097277397e-05,,COMPLETE
102,0.2501039200766569,2020-09-30 06:13:52.703932,2020-09-30 10:49:42.448550,0 days 04:35:49.744618000,128.0,0.1,0.00386010820445652,linear_with_warmup,1.0,5.0,64.0,3.190209559097998e-05,,COMPLETE
103,0.2466594544545694,2020-09-30 06:20:51.901975,2020-09-30 11:36:21.433107,0 days 05:15:29.531132000,128.0,0.1,0.004646518576392377,linear_with_warmup,1.0,5.0,64.0,6.967890116345716e-05,,COMPLETE
104,0.23404317549807105,2020-09-30 07:06:08.419168,2020-09-30 11:51:48.289236,0 days 04:45:39.870068000,128.0,0.1,0.008180312457185687,linear_with_warmup,1.0,5.0,64.0,1.55138979840505e-05,,COMPLETE
105,0.25787720584970686,2020-09-30 07:56:22.420230,2020-09-30 12:56:37.078211,0 days 05:00:14.657981000,128.0,0.1,0.0021900205848933937,linear_with_warmup,1.0,5.0,64.0,3.2497749362611606e-05,,COMPLETE
