number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--learning_rate_schedule,params_--n_head,params_--n_layer,params_--num_train_epochs,params_--per_device_train_batch_size,params_--weight_decay,system_attrs_fail_reason,state
142,,2020-10-07 09:04:00.612731,2020-10-07 09:04:44.196768,0 days 00:00:43.584037000,256.0,0.1,0.00022952549375382055,linear_with_warmup,1.0,3.0,8.0,128.0,2.2971307248257746e-06,"Trial 142 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
143,,2020-10-07 09:04:44.672346,,,,,,,,,,,,,RUNNING
144,,2020-10-07 09:30:39.708325,,,,,,,,,,,,,RUNNING
145,,2020-10-07 09:59:46.196986,,,,,,,,,,,,,RUNNING
146,,2020-10-07 10:03:44.674589,2020-10-07 10:04:26.635459,0 days 00:00:41.960870000,256.0,0.1,0.0002325525171904188,linear_with_warmup,8.0,3.0,8.0,128.0,2.323213964610785e-06,"Trial 146 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
147,,2020-10-07 10:04:27.331362,2020-10-07 10:05:11.876976,0 days 00:00:44.545614000,256.0,0.1,0.00023870158364630532,linear_with_warmup,1.0,3.0,8.0,128.0,2.1958351892146084e-06,"Trial 147 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
148,,2020-10-07 10:05:12.041963,2020-10-07 10:05:58.503264,0 days 00:00:46.461301000,256.0,0.1,0.000245725597068186,linear_with_warmup,8.0,3.0,8.0,128.0,2.4620566376770002e-06,"Trial 148 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
149,,2020-10-07 10:05:59.060991,2020-10-07 10:06:45.310101,0 days 00:00:46.249110000,256.0,0.1,0.00023743763094457725,linear_with_warmup,8.0,3.0,8.0,128.0,2.063179623177939e-06,"Trial 149 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
150,,2020-10-07 10:06:39.503990,2020-10-07 10:07:19.463442,0 days 00:00:39.959452000,320.0,0.1,0.0002559824786426898,linear_with_warmup,8.0,3.0,8.0,128.0,2.4802775032032367e-06,"Trial 150 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
151,,2020-10-07 10:06:45.959285,2020-10-07 10:07:22.296873,0 days 00:00:36.337588000,256.0,0.1,0.00023442996570531728,linear_with_warmup,8.0,3.0,8.0,128.0,2.311338489747985e-06,"Trial 151 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
152,,2020-10-07 10:07:20.607518,2020-10-07 10:08:05.109505,0 days 00:00:44.501987000,320.0,0.1,0.00023347770029647576,linear_with_warmup,8.0,3.0,8.0,128.0,2.545955052877965e-06,"Trial 152 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
153,,2020-10-07 10:07:23.008402,,,,,,,,,,,,,RUNNING
154,,2020-10-07 10:08:06.039983,2020-10-07 10:08:53.989458,0 days 00:00:47.949475000,320.0,0.1,0.0002313887434148026,linear_with_warmup,8.0,3.0,8.0,128.0,2.324092792871282e-06,"Trial 154 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
155,,2020-10-07 10:08:54.227318,,,,,,,,,,,,,RUNNING
156,,2020-10-07 11:07:17.513318,2020-10-07 11:07:55.948279,0 days 00:00:38.434961000,256.0,0.1,0.0002374304146729653,linear_with_warmup,8.0,3.0,8.0,128.0,2.221282701029224e-06,"Trial 156 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
157,,2020-10-07 11:07:56.955335,,,,,,,,,,,,,RUNNING
158,,2020-10-07 16:43:50.268252,2020-10-07 16:44:00.138612,0 days 00:00:09.870360000,320.0,0.1,0.003708392901688032,linear_with_warmup,1.0,3.0,8.0,128.0,2.6763179160489325e-06,"Trial 158 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f691d4a2630>,)",FAIL
159,,2020-10-07 16:43:51.993437,,,,,,,,,,,,,RUNNING
160,,2020-10-07 16:43:52.184822,2020-10-07 16:44:00.321990,0 days 00:00:08.137168000,320.0,0.1,0.0002321939421851043,linear_with_warmup,8.0,3.0,8.0,128.0,2.2347941087496885e-06,"Trial 160 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f691d43c978>,)",FAIL
161,,2020-10-07 16:43:52.346626,2020-10-07 16:43:55.330367,0 days 00:00:02.983741000,320.0,0.1,0.0002589371569895645,linear_with_warmup,1.0,3.0,8.0,128.0,2.3576882803998683e-06,"Trial 161 failed because of the following error: KeyError(<autobench.core.job.Job object at 0x7f691d491eb8>,)",FAIL
162,,2020-10-07 16:43:52.522710,,,,,,,,,,,,,RUNNING
163,,2020-10-07 16:43:55.500736,,,,,,,,,,,,,RUNNING
164,,2020-10-07 16:44:45.997161,2020-10-07 22:48:57.771418,0 days 06:04:11.774257000,320.0,0.1,0.00026474269733227113,linear_with_warmup,1.0,3.0,8.0,128.0,2.1920744116555126e-06,"Trial 164 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
165,,2020-10-07 16:44:46.846993,2020-10-07 22:53:59.641050,0 days 06:09:12.794057000,320.0,0.1,0.0002567788988311283,linear_with_warmup,1.0,3.0,8.0,128.0,2.38872255516755e-06,"Trial 165 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
166,,2020-10-07 16:44:46.976066,2020-10-07 20:02:55.293581,0 days 03:18:08.317515000,320.0,0.1,0.0033654448354247853,linear_with_warmup,1.0,3.0,8.0,128.0,1.935551754523073e-06,"Trial 166 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
167,,2020-10-07 16:44:47.844550,2020-10-07 21:28:08.445454,0 days 04:43:20.600904000,320.0,0.1,0.0002688359701126381,linear_with_warmup,1.0,3.0,8.0,128.0,2.7483474985523516e-06,"Trial 167 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
168,0.44233340224104933,2020-10-07 16:44:47.940636,2020-10-07 23:56:21.134701,0 days 07:11:33.194065000,320.0,0.1,0.003249363609510841,linear_with_warmup,1.0,3.0,8.0,128.0,2.432085171517407e-06,,COMPLETE
169,,2020-10-07 20:02:55.588942,2020-10-07 21:27:03.975226,0 days 01:24:08.386284000,320.0,0.1,0.0002465783234186534,linear_with_warmup,1.0,3.0,8.0,128.0,2.3080816068007955e-06,"Trial 169 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
170,,2020-10-07 21:27:04.222554,2020-10-07 22:49:18.054393,0 days 01:22:13.831839000,320.0,0.1,0.00024298602228731535,linear_with_warmup,1.0,3.0,8.0,128.0,2.6301544631740453e-06,"Trial 170 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
171,,2020-10-07 21:28:08.576910,2020-10-07 22:49:25.780366,0 days 01:21:17.203456000,320.0,0.1,0.00022293756747706063,linear_with_warmup,1.0,3.0,8.0,128.0,2.427462010428796e-06,"Trial 171 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
172,,2020-10-07 22:48:58.737992,2020-10-07 22:49:35.221686,0 days 00:00:36.483694000,320.0,0.1,0.0002609509080877535,linear_with_warmup,8.0,3.0,8.0,128.0,2.4596416310872627e-06,"Trial 172 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
173,,2020-10-07 22:49:18.282275,2020-10-07 22:49:59.665531,0 days 00:00:41.383256000,320.0,0.1,0.0036281734945634325,linear_with_warmup,1.0,3.0,8.0,128.0,2.276167041326813e-06,"Trial 173 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
174,,2020-10-07 22:49:25.967205,2020-10-07 22:49:58.302234,0 days 00:00:32.335029000,320.0,0.1,0.00025212949953507793,linear_with_warmup,1.0,3.0,8.0,128.0,2.4311894600987962e-06,"Trial 174 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
175,,2020-10-07 22:49:35.435621,2020-10-07 22:50:13.826746,0 days 00:00:38.391125000,320.0,0.1,0.0002458697890397954,linear_with_warmup,1.0,3.0,8.0,128.0,2.4415269594988388e-06,"Trial 175 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
176,,2020-10-07 22:49:58.588399,2020-10-07 22:54:02.481137,0 days 00:04:03.892738000,320.0,0.1,0.003812577318476795,linear_with_warmup,1.0,3.0,8.0,128.0,2.6067647412685942e-06,"Trial 176 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
177,,2020-10-07 22:49:59.977701,2020-10-07 22:54:14.456433,0 days 00:04:14.478732000,320.0,0.1,0.000263314497392711,linear_with_warmup,1.0,3.0,8.0,128.0,2.4123860665424044e-06,"Trial 177 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
178,,2020-10-07 22:50:14.345531,2020-10-07 22:54:14.228721,0 days 00:03:59.883190000,320.0,0.1,0.0035306715114572585,linear_with_warmup,1.0,3.0,8.0,128.0,1.9913786027869506e-06,"Trial 178 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
179,,2020-10-07 22:54:00.172987,2020-10-07 22:54:38.689427,0 days 00:00:38.516440000,320.0,0.1,0.0002561819689116119,linear_with_warmup,1.0,3.0,8.0,128.0,2.4244777953913236e-06,"Trial 179 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
180,,2020-10-07 22:54:02.881215,2020-10-08 02:41:35.785589,0 days 03:47:32.904374000,320.0,0.1,0.00024276773699990098,linear_with_warmup,1.0,3.0,8.0,128.0,2.6753506834497056e-06,"Trial 180 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
181,0.27374783320985047,2020-10-07 22:54:14.586109,2020-10-08 05:08:57.671630,0 days 06:14:43.085521000,320.0,0.1,0.0002484349353682813,linear_with_warmup,1.0,3.0,8.0,128.0,2.4605917721301377e-06,,COMPLETE
182,,2020-10-07 22:54:14.718204,2020-10-08 04:09:28.076667,0 days 05:15:13.358463000,320.0,0.1,0.00023092933298535733,linear_with_warmup,1.0,3.0,8.0,128.0,2.588352910368368e-06,"Trial 182 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
183,0.2740375114064982,2020-10-07 22:54:38.926148,2020-10-08 05:18:59.586270,0 days 06:24:20.660122000,320.0,0.1,0.0002591642496962418,linear_with_warmup,1.0,3.0,8.0,128.0,2.352160399386405e-06,,COMPLETE
184,,2020-10-07 23:56:21.828420,2020-10-08 00:35:45.272653,0 days 00:39:23.444233000,320.0,0.1,0.0037491942926431558,linear_with_warmup,1.0,3.0,8.0,64.0,1.7024298666514104e-06,"Trial 184 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
