number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
62,0.3356111957789891,2020-09-14 20:04:47.653373,2020-09-14 21:56:11.223125,0 days 01:51:23.569752000,128,0.0,0.011562390410269728,1,64,,COMPLETE
63,0.36393880797420275,2020-09-14 20:08:35.880318,2020-09-14 22:14:25.691355,0 days 02:05:49.811037000,128,0.0,0.003684822916586406,1,64,,COMPLETE
64,0.33547491968858306,2020-09-14 20:15:49.291356,2020-09-14 22:29:05.870141,0 days 02:13:16.578785000,128,0.2,0.011599420194565455,1,64,,COMPLETE
65,0.3607267796736329,2020-09-14 20:16:07.061387,2020-09-14 22:51:21.113347,0 days 02:35:14.051960000,128,0.0,0.011178877757733196,1,64,,COMPLETE
66,0.36199635551459863,2020-09-14 21:00:59.210274,2020-09-15 00:04:07.460483,0 days 03:03:08.250209000,128,0.0,0.003624907223780546,1,64,,COMPLETE
67,0.3210713979361973,2020-09-14 21:56:11.280851,2020-09-15 00:13:29.293223,0 days 02:17:18.012372000,128,0.0,0.012667953709811181,1,64,,COMPLETE
68,0.3611938719429566,2020-09-14 22:14:25.722256,2020-09-15 00:20:28.874041,0 days 02:06:03.151785000,128,0.0,0.0032905825663426093,1,64,,COMPLETE
69,0.37402201836621807,2020-09-14 22:29:05.921478,2020-09-15 00:50:20.750764,0 days 02:21:14.829286000,128,0.0,0.004033990292162369,1,64,,COMPLETE
70,0.40593791903338244,2020-09-14 22:51:21.147687,2020-09-15 02:15:19.046921,0 days 03:23:57.899234000,128,0.0,0.006295738683494308,1,64,,COMPLETE
71,0.31772345587057843,2020-09-15 00:04:07.515312,2020-09-15 02:07:48.756419,0 days 02:03:41.241107000,128,0.0,0.013012373202413911,1,64,,COMPLETE
72,0.3688652834713254,2020-09-15 00:13:29.326846,2020-09-15 02:13:29.246956,0 days 01:59:59.920110000,128,0.0,0.0038117634035855657,1,64,,COMPLETE
73,0.1506558463127223,2020-09-15 00:20:28.905771,2020-09-15 02:49:56.024640,0 days 02:29:27.118869000,128,0.0,0.004090002807700648,3,64,,COMPLETE
74,0.13696829493559945,2020-09-15 00:50:20.782101,2020-09-15 03:06:17.966997,0 days 02:15:57.184896000,128,0.0,0.003776864786819441,3,64,,COMPLETE
75,0.13225004731915538,2020-09-15 02:07:48.802127,2020-09-15 04:11:50.493502,0 days 02:04:01.691375000,128,0.0,0.003603064455306175,3,64,,COMPLETE
76,0.35470011498412674,2020-09-15 02:13:29.283542,2020-09-15 04:18:20.780676,0 days 02:04:51.497134000,128,0.0,0.003213330915903529,1,64,,COMPLETE
77,0.36282476084558246,2020-09-15 02:15:19.079095,2020-09-15 04:19:02.848055,0 days 02:03:43.768960000,128,0.0,0.0036151574552087105,1,64,,COMPLETE
78,0.36379773832247303,2020-09-15 02:49:56.056455,2020-09-15 04:53:11.426408,0 days 02:03:15.369953000,128,0.0,0.0036766604744322127,1,64,,COMPLETE
79,0.35820368293024624,2020-09-15 03:06:17.996279,2020-09-15 05:04:33.141075,0 days 01:58:15.144796000,128,0.0,0.003473135231908779,1,64,,COMPLETE
